trade_date,stock_code,code,name,trade,high,low,open,changepercent,pricechange,volume,amount,amplitude,turnover,dynamic_pe,presettlement,aggregate_value,market_value,pb,first_trade_date
2021-10-28,sh601800,601800,中国交建,7.36,7.54,7.33,7.47,-1.6,-0.12,496048,367565504.0,2.81,0.42,6.09,7.48,118979636088,86459652728,0.54,20120309
2021-10-28,sh600597,600597,光明乳业,12.87,13.18,12.78,13.06,-1.61,-0.21,199808,257663383.0,3.06,1.63,30.19,13.08,15759154241,15756766856,2.56,20020828
2021-10-28,sz002726,002726,龙大肉食,9.79,9.97,9.67,9.9,-1.61,-0.16,96814,95283617.0,3.02,0.98,17.14,9.95,10557871709,9698533851,2.63,20140626
2021-10-28,sz000876,000876,新 希 望,14.07,14.36,13.82,14.22,-1.61,-0.23,544673,765866464.0,3.78,1.26,-9.28,14.3,63388323582,60858695827,1.9,19980311
2021-10-28,sz002641,002641,永高股份,4.28,4.37,4.22,4.33,-1.61,-0.07,36156,15441187.0,3.45,0.32,10.47,4.35,5287442946,4835248059,1.12,20111208
2021-10-28,sz000011,000011,深物业A,11.0,11.14,10.93,11.13,-1.61,-0.18,38438,42291598.0,1.88,0.73,4.85,11.18,6555770012,5791230973,1.58,19920330
2021-10-28,sz000776,000776,广发证券,20.74,21.5,20.47,21.18,-1.61,-0.34,841924,1768678496.0,4.89,1.42,13.72,21.08,158061358151,122766104963,1.58,19970611
2021-10-28,sh688188,688188,柏楚电子,402.89,416.85,398.0,405.1,-1.61,-6.61,4169,168480452.0,4.6,1.55,65.65,409.5,40408974599,10826776349,15.01,20190808
2021-10-28,sz300812,300812,易天股份,18.89,19.5,18.76,19.17,-1.61,-0.31,8743,16608776.0,3.85,1.44,31.1,19.2,2635552238,1143714488,3.21,20200109
2021-10-28,sh605099,605099,共创草坪,29.24,30.2,29.2,29.72,-1.62,-0.48,6161,18289066.0,3.36,1.54,27.18,29.72,11761848480,1172231600,6.4,20200930
2021-10-28,sz300005,300005,探路者,8.51,8.71,8.45,8.57,-1.62,-0.14,74578,64096365.0,3.01,1.06,190.38,8.65,7520305603,5963184762,3.51,20091030
2021-10-28,sh600833,600833,第一医药,7.9,8.03,7.85,8.03,-1.62,-0.13,8122,6430219.0,2.24,0.36,33.96,8.03,1762382141,1762382141,2.41,19940224
